AvgSpotLen	BioSample	BioSampleModel	Experiment	Instrument	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	age	dev_stage	ecotype	geo_loc_name	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
99	SAMN03326294	Plant	SRX972133	Illumina HiSeq 2000	504	2015-03-31	3659	1705	Arabidopsis thaliana	2016-05-06	SRR1945450	SRS888296	504	not applicable	not applicable	504	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
195	SAMN03326295	Plant	SRX972134	Illumina HiSeq 2000	506	2015-03-31	7148	5501	Arabidopsis thaliana	2016-05-06	SRR1945451	SRS888295	506	not applicable	not applicable	506	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
99	SAMN03326296	Plant	SRX972135	Illumina HiSeq 2000	531	2015-03-31	3702	1746	Arabidopsis thaliana	2016-05-06	SRR1945452	SRS888294	531	not applicable	not applicable	531	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326297	Plant	SRX972136	Illumina HiSeq 2000	544	2015-03-31	17196	12332	Arabidopsis thaliana	2016-05-06	SRR1945453	SRS888298	544	not applicable	not applicable	544	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326298	Plant	SRX972137	Illumina HiSeq 2000	546	2015-03-31	11736	8327	Arabidopsis thaliana	2016-05-06	SRR1945454	SRS888292	546	not applicable	not applicable	546	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326299	Plant	SRX972138	Illumina HiSeq 2000	628	2015-03-31	9135	6738	Arabidopsis thaliana	2016-05-06	SRR1945455	SRS888291	628	not applicable	not applicable	628	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326300	Plant	SRX972139	Illumina HiSeq 2000	630	2015-03-30	4577	3265	Arabidopsis thaliana	2016-05-06	SRR1945456	SRS888293	630	not applicable	not applicable	630	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326301	Plant	SRX972140	Illumina HiSeq 2000	680	2015-03-31	9655	6967	Arabidopsis thaliana	2016-05-06	SRR1945457	SRS888290	680	not applicable	not applicable	680	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326302	Plant	SRX972141	Illumina HiSeq 2000	681	2015-03-31	6293	4613	Arabidopsis thaliana	2016-05-06	SRR1945458	SRS888289	681	not applicable	not applicable	681	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326303	Plant	SRX972142	Illumina HiSeq 2000	685	2015-03-31	10943	8081	Arabidopsis thaliana	2016-05-06	SRR1945459	SRS888327	685	not applicable	not applicable	685	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
249	SAMN03326304	Plant	SRX972143	Illumina HiSeq 2000	687	2015-03-31	5688	4022	Arabidopsis thaliana	2016-05-06	SRR1945460	SRS888287	687	not applicable	not applicable	687	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
194	SAMN03326305	Plant	SRX972144	Illumina HiSeq 2000	728	2015-03-31	4275	2765	Arabidopsis thaliana	2016-05-06	SRR1945461	SRS888326	728	not applicable	not applicable	728	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
98	SAMN03326306	Plant	SRX972145	Illumina HiSeq 2000	742	2015-03-31	5920	3793	Arabidopsis thaliana	2016-05-06	SRR1945462	SRS888286	742	not applicable	not applicable	742	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMN03326307	Plant	SRX972146	Illumina HiSeq 2000	763	2015-03-30	3644	2453	Arabidopsis thaliana	2016-05-06	SRR1945463	ERS622795	763	not applicable	not applicable	763	Kyrgyzstan	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMEA3168179		SRX972147	Illumina HiSeq 2000	765	2015-03-30	1600	1034	Poecilia reticulata	2016-05-06	SRR1945464	ERS622797	SAMEA3168179						WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMN03326309	Plant	SRX972148	Illumina HiSeq 2000	766	2015-03-30	1963	1301	Arabidopsis thaliana	2016-05-06	SRR1945465	SRS888285	766	not applicable	not applicable	766	Kyrgyzstan	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMN03326310	Plant	SRX972149	Illumina HiSeq 2000	768	2015-03-30	1822	1163	Arabidopsis thaliana	2016-05-06	SRR1945466	SRS888284	768	not applicable	not applicable	768	Kyrgyzstan	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMN03326311	Plant	SRX972150	Illumina HiSeq 2000	772	2015-03-30	2637	1759	Arabidopsis thaliana	2016-05-06	SRR1945467	SRS888282	772	not applicable	not applicable	772	Tajikistan	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326312	Plant	SRX972151	Illumina HiSeq 2000	801	2015-03-30	4049	2606	Arabidopsis thaliana	2016-05-06	SRR1945468	SRS888281	801	not applicable	not applicable	801	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326313	Plant	SRX972152	Illumina HiSeq 2000	853	2015-03-31	11561	8513	Arabidopsis thaliana	2016-05-06	SRR1945469	SRS888283	853	not applicable	not applicable	853	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326314	Plant	SRX972153	Illumina HiSeq 2000	854	2015-03-31	9678	6990	Arabidopsis thaliana	2016-05-06	SRR1945470	SRS888280	854	not applicable	not applicable	854	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326315	Plant	SRX972154	Illumina HiSeq 2000	867	2015-03-31	6345	4475	Arabidopsis thaliana	2016-05-06	SRR1945471	SRS888279	867	not applicable	not applicable	867	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326316	Plant	SRX972155	Illumina HiSeq 2000	868	2015-03-31	5240	3796	Arabidopsis thaliana	2016-05-06	SRR1945472	SRS888278	868	not applicable	not applicable	868	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326317	Plant	SRX972156	Illumina HiSeq 2000	870	2015-03-30	4539	2939	Arabidopsis thaliana	2016-05-06	SRR1945473	SRS888277	870	not applicable	not applicable	870	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326318	Plant	SRX972157	Illumina HiSeq 2000	915	2015-03-30	2780	1787	Arabidopsis thaliana	2016-05-06	SRR1945474	SRS888325	915	not applicable	not applicable	915	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326319	Plant	SRX972158	Illumina HiSeq 2000	932	2015-03-30	2935	1890	Arabidopsis thaliana	2016-05-06	SRR1945475	SRS888276	932	not applicable	not applicable	932	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326320	Plant	SRX972159	Illumina HiSeq 2000	991	2015-03-30	6516	5313	Arabidopsis thaliana	2016-05-06	SRR1945476	SRS888313	991	not applicable	not applicable	991	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
152	SAMEA3168188		SRX972160	Illumina Genome Analyzer IIx	992	2015-03-30	3502	2138	Poecilia reticulata	2016-05-06	SRR1945477	ERS622806	SAMEA3168188						WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
152	SAMEA3168193		SRX972161	Illumina Genome Analyzer IIx	997	2015-03-30	3023	1432	Poecilia reticulata	2016-05-06	SRR1945478	ERS622811	SAMEA3168193						WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
152	SAMN03326323	Plant	SRX972162	Illumina Genome Analyzer IIx	1002	2015-03-30	3109	1502	Arabidopsis thaliana	2016-05-06	SRR1945479	SRS888274	1002	not applicable	not applicable	1002	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326324	Plant	SRX972163	Illumina HiSeq 2000	1006	2015-03-30	6732	4379	Arabidopsis thaliana	2016-05-06	SRR1945480	SRS888273	1006	not applicable	not applicable	1006	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326325	Plant	SRX972164	Illumina HiSeq 2000	1061	2015-03-30	1874	1523	Arabidopsis thaliana	2016-05-06	SRR1945481	SRS888323	1061	not applicable	not applicable	1061	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326326	Plant	SRX972165	Illumina HiSeq 2000	1062	2015-03-30	9947	8021	Arabidopsis thaliana	2016-05-06	SRR1945482	SRS888275	1062	not applicable	not applicable	1062	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326327	Plant	SRX972166	Illumina HiSeq 2000	1063	2015-03-30	2091	1303	Arabidopsis thaliana	2016-05-06	SRR1945483	SRS888297	1063	not applicable	not applicable	1063	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
152	SAMN03326328	Plant	SRX972167	Illumina Genome Analyzer IIx	1066	2015-03-30	3973	2494	Arabidopsis thaliana	2016-05-06	SRR1945484	SRS888271	1066	not applicable	not applicable	1066	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
152	SAMN03326329	Plant	SRX972168	Illumina Genome Analyzer IIx	1070	2015-03-30	5131	3290	Arabidopsis thaliana	2016-05-06	SRR1945485	SRS888272	1070	not applicable	not applicable	1070	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326330	Plant	SRX972169	Illumina HiSeq 2000	1158	2015-03-30	5012	3254	Arabidopsis thaliana	2016-05-06	SRR1945486	SRS888270	1158	not applicable	not applicable	1158	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMEA3168092		SRX972170	Illumina HiSeq 2000	1166	2015-03-30	7405	4950	Poecilia reticulata	2016-05-06	SRR1945487	ERS622710	SAMEA3168092						WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326332	Plant	SRX972171	Illumina HiSeq 2000	1254	2015-03-30	3687	2625	Arabidopsis thaliana	2016-05-06	SRR1945488	SRS888269	1254	not applicable	not applicable	1254	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326333	Plant	SRX972172	Illumina HiSeq 2000	1257	2015-03-30	5519	4651	Arabidopsis thaliana	2016-05-06	SRR1945489	SRS888268	1257	not applicable	not applicable	1257	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326334	Plant	SRX972173	Illumina HiSeq 2000	1313	2015-03-30	3221	1878	Arabidopsis thaliana	2016-05-06	SRR1945490	SRS888267	1313	not applicable	not applicable	1313	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326335	Plant	SRX972174	Illumina HiSeq 2000	1317	2015-03-30	8221	5287	Arabidopsis thaliana	2016-05-06	SRR1945491	SRS888266	1317	not applicable	not applicable	1317	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326336	Plant	SRX972175	Illumina HiSeq 2000	1552	2015-03-30	8698	7367	Arabidopsis thaliana	2016-05-06	SRR1945492	SRS888265	1552	not applicable	not applicable	1552	Sweden	root	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326337	Plant	SRX972176	Illumina HiSeq 2000	1612	2015-03-31	5339	3777	Arabidopsis thaliana	2016-05-06	SRR1945493	SRS888263	1612	not applicable	not applicable	1612	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326338	Plant	SRX972177	Illumina HiSeq 2000	1622	2015-03-31	7213	5218	Arabidopsis thaliana	2016-05-06	SRR1945494	SRS888322	1622	not applicable	not applicable	1622	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326339	Plant	SRX972178	Illumina HiSeq 2000	1651	2015-03-31	5728	4094	Arabidopsis thaliana	2016-05-06	SRR1945495	SRS888262	1651	not applicable	not applicable	1651	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326340	Plant	SRX972179	Illumina HiSeq 2000	1652	2015-03-31	6388	4671	Arabidopsis thaliana	2016-05-06	SRR1945496	SRS888261	1652	not applicable	not applicable	1652	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326341	Plant	SRX972180	Illumina HiSeq 2000	1676	2015-03-31	6227	4445	Arabidopsis thaliana	2016-05-06	SRR1945497	SRS888264	1676	not applicable	not applicable	1676	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326342	Plant	SRX972181	Illumina HiSeq 2000	1684	2015-03-31	4979	3074	Arabidopsis thaliana	2016-05-06	SRR1945498	SRS888260	1684	not applicable	not applicable	1684	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
96	SAMN03326343	Plant	SRX972182	Illumina HiSeq 2000	1739	2015-03-31	6173	4218	Arabidopsis thaliana	2016-05-06	SRR1945499	SRS888259	1739	not applicable	not applicable	1739	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
95	SAMN03326344	Plant	SRX972183	Illumina HiSeq 2000	1741	2015-03-31	5788	3941	Arabidopsis thaliana	2016-05-06	SRR1945500	SRS888288	1741	not applicable	not applicable	1741	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326345	Plant	SRX972184	Illumina HiSeq 2000	1756	2015-03-31	4940	3641	Arabidopsis thaliana	2016-05-06	SRR1945501	SRS888258	1756	not applicable	not applicable	1756	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326346	Plant	SRX972185	Illumina HiSeq 2000	1757	2015-03-31	9638	6813	Arabidopsis thaliana	2016-05-06	SRR1945502	SRS888257	1757	not applicable	not applicable	1757	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326347	Plant	SRX972186	Illumina HiSeq 2000	1793	2015-03-31	9546	7032	Arabidopsis thaliana	2016-05-06	SRR1945503	SRS888256	1793	not applicable	not applicable	1793	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326348	Plant	SRX972187	Illumina HiSeq 2000	1797	2015-03-31	3539	2513	Arabidopsis thaliana	2016-05-06	SRR1945504	SRS888255	1797	not applicable	not applicable	1797	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326349	Plant	SRX972188	Illumina HiSeq 2000	1819	2015-03-31	5814	4230	Arabidopsis thaliana	2016-05-06	SRR1945505	SRS888254	1819	not applicable	not applicable	1819	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326350	Plant	SRX972189	Illumina HiSeq 2000	1820	2015-03-31	4563	3241	Arabidopsis thaliana	2016-05-06	SRR1945506	SRS888253	1820	not applicable	not applicable	1820	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326351	Plant	SRX972190	Illumina HiSeq 2000	1829	2015-03-30	4901	3173	Arabidopsis thaliana	2016-05-06	SRR1945507	SRS888252	1829	not applicable	not applicable	1829	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326352	Plant	SRX972191	Illumina HiSeq 2000	1834	2015-03-31	5956	4357	Arabidopsis thaliana	2016-05-06	SRR1945508	SRS888251	1834	not applicable	not applicable	1834	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326353	Plant	SRX972192	Illumina HiSeq 2000	1835	2015-03-31	5222	3845	Arabidopsis thaliana	2016-05-06	SRR1945509	SRS888250	1835	not applicable	not applicable	1835	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
198	SAMN03326354	Plant	SRX972193	Illumina HiSeq 2000	1851	2015-03-31	9485	6796	Arabidopsis thaliana	2016-05-06	SRR1945510	SRS888248	1851	not applicable	not applicable	1851	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
197	SAMN03326355	Plant	SRX972194	Illumina HiSeq 2000	1852	2015-03-31	4208	3035	Arabidopsis thaliana	2016-05-06	SRR1945511	SRS888249	1852	not applicable	not applicable	1852	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326356	Plant	SRX972195	Illumina HiSeq 2000	1853	2015-03-30	2879	1841	Arabidopsis thaliana	2016-05-06	SRR1945512	SRS888247	1853	not applicable	not applicable	1853	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326357	Plant	SRX972196	Illumina HiSeq 2000	1872	2015-03-30	3206	2052	Arabidopsis thaliana	2016-05-06	SRR1945513	SRS888324	1872	not applicable	not applicable	1872	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326358	Plant	SRX972197	Illumina HiSeq 2000	1890	2015-03-30	4266	2708	Arabidopsis thaliana	2016-05-06	SRR1945514	SRS888246	1890	not applicable	not applicable	1890	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326359	Plant	SRX972198	Illumina HiSeq 2000	1925	2015-03-30	2899	1845	Arabidopsis thaliana	2016-05-06	SRR1945515	SRS888245	1925	not applicable	not applicable	1925	USA	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
